user_id,amount,timestamp,is_fraud
C66811,15.0,2010-04-01 10:34:00,0
C92281,145.0,2010-05-12 16:40:00,0
C56583,5.04,2010-11-25 11:17:00,0
C3752,0.95,2010-06-01 12:45:00,0
C78443,15.3,2010-03-01 08:55:00,0
C15576,7.5,2010-03-11 15:33:00,0
C9163,20.4,2010-11-12 13:18:00,0
C41767,0.65,2010-03-07 14:05:00,0
C78197,17.7,2010-09-14 15:41:00,0
C44554,17.85,2010-01-18 12:27:00,0
C97488,19.8,2010-09-16 16:56:00,0
C7633,1.65,2010-03-01 14:01:00,0
C7633,5.95,2010-09-06 12:55:00,0
C75068,39.95,2010-03-01 09:13:00,0
C76823,38.25,2010-11-14 11:50:00,0
C60350,10.15,2010-01-28 10:42:00,0
C28597,5.85,2010-01-20 13:24:00,0
C20068,10.2,2010-11-30 14:44:00,0
C99300,5.04,2010-10-20 14:59:00,0
C46000,11.25,2009-12-02 15:01:00,0
C80963,3.75,2010-03-19 13:41:00,0
C79983,7.95,2010-01-05 12:20:00,0
C24329,5.1,2010-03-16 12:13:00,0
C31096,6.75,2010-02-02 11:40:00,0
C96597,1.65,2010-10-22 11:40:00,0
C19078,15.0,2010-02-03 13:22:00,0
C11099,7.5,2010-09-05 11:14:00,0
C19406,15.3,2010-08-17 10:29:00,0
C27198,6.3,2010-08-24 13:01:00,0
C92301,23.85,2010-06-13 13:19:00,0
C62163,39.8,2010-11-25 10:51:00,0
C37721,8.5,2010-10-26 16:49:00,0
C93692,15.6,2010-05-20 17:00:00,0
C61164,6.6,2010-06-17 13:06:00,0
C46168,2.1,2010-09-02 13:27:00,0
C88854,2.55,2010-03-14 13:43:00,0
C21174,15.3,2009-12-04 16:37:00,0
C86102,10.2,2010-04-23 11:44:00,0
C50733,19.8,2010-01-31 10:10:00,0
C56583,13.2,2010-04-29 12:37:00,0
C79377,3.75,2010-09-14 13:45:00,0
C70675,4.95,2010-02-11 13:41:00,0
C66673,23.85,2010-11-08 14:19:00,0
C22200,8.5,2010-06-14 10:33:00,0
C86113,15.0,2010-06-10 12:12:00,0
